"","artist.hotttnesss","bars_start","beats_start","duration","end_of_fade_in","loudness","song.hotttnesss","start_of_fade_out","tatums_start","tempo","time_signature"
"1",0.401997543,0.58521,0.58521,218.93179,0.247,-11.197,0.60211999,218.932,0.28519,92.198,4
"4",0.454231157,1.30621,0.81002,233.40363,0,-9.013,0.39694028178907,217.124,0.56254,119.293,4
"5",0.401723686,1.06368,0.13576,209.60608,0.066,-4.501,0.604500739,198.699,0.13576,129.738,4
"9",0.332275747,1.91886,1.22595,269.81832,5.3,-13.496,0.265861049,258.99,1.22595,86.643,4
"11",0.296268954,0.11194,0.11194,218.77506,2.125,-10.021,0,207.012,0.11194,146.765,1
"12",0.351555861,1.45439,0.42896,245.21098,0.357,-7.545,0.265861049,227.48,0.1727,117.975,4
"13",0.37948217,1.2229,0.29639,226.35057,0,-6.632,0,221.553,0.06508,130.04,4
"14",0.251936525,0.46223,0.46223,191.84281,0.38,-7.75,0,188.424,0.23506,137.334,1
"16",0.447935481,1.32118,0.30065,491.12771,0,-8.576,0.405115722,486.034,0.05047,119.826,4
"17",0.330806357,1.19076,0.24795,228.5971,0.223,-16.11,0.334706549,217.426,0.08584,127.756,5
"19",0.51346329,0.8752,0.05728,290.29832,0.145,-5.271,0.684136191,285.605,0.05728,150.062,4
"20",0,0.66829,0.22335,165.69424,0.162,-6.787,0,157.391,0.22335,138.331,4
"21",0.291539727,0.12236,0.12236,151.84934,2.827,-15.221,0.230674688095238,146.199,0.12236,86.186,3
"22",0.328553015,0.46253,0.46253,220.78649,0.206,-8.514,0,207.656,0.16228,110.382,1
"23",0.378254686,1.06937,0.51434,269.58322,0,-8.05,0.313562114,256.168,0.51434,111.874,4
"24",0.541888972,1.06698,0.33578,207.77751,0.061,-4.264,0.666527846,204.696,0.15349,166.862,4
"25",0.306242264,0.70311,0.26706,124.86485,0,-12.332,0.495293621,115.74,0.04025,137.522,4
"26",0.363651365,0.08901,0.08901,225.09669,0,-5.908,0.375984302,225.097,0.08901,164.672,1
"29",0.379671125,1.01964,0.06314,168.25424,0.2,-9.616,0.268578944844262,161.89,0.06314,127.025,4
"30",0.299230368,0.97531,0.3393,156.39465,0.562,-18.051,0,150.634,0.3393,95.957,3
"31",0.416173065,0.96908,0.42073,342.56934,0.063,-11.939,0.413739836,333.154,0.13836,110.189,3
"32",0.452789477,0.56075,0.56075,484.62322,28.172,-15.335,0.377531645,480.363,0.56075,138.007,4
"33",0.418216518,0.10131,0.10131,164.80608,0,-10.922,0.443291312,156.177,0.10131,130.1,1
"34",0.384611084,0.24118,0.24118,133.32853,0,-9.983,0,130.009,0.04851,160.839,1
"37",0.488019842,0.2438,0.2438,450.84689,0.467,-9.063,0.593943076,426.104,0.09307,130.586,4
"39",0.382651971,0.77461,0.77461,128.83546,0,-17.699,0.394394856,121.423,0.77461,90.932,3
"40",0.294861262,0.92047,0.23284,456.30649,0.241,-19.478,0,451.315,0.06094,89.667,4
"41",0.393121934,0.73465,0.28881,198.73914,0,-7.469,0.450992312,193.016,0.14044,115.061,4
"42",0.467538444,0.90181,0.38075,95.68608,0,-2.022,0.528782481,87.806,0.12215,115.887,4
"43",0.735765693,0.15016,0.15016,271.49016,0.171,-10.358,0.83449262,263.784,0.15016,139.333,1
"44",0.350078579,0.86592,0.34973,226.66404,0.311,-12.716,0,219.51,0.34973,117.271,4
"45",0.442765842,1.56662,0.37554,190.48444,0.258,-15.663,0.510119314,177.029,0.37554,102.428,4
"46",0.466628889,0.93659,0.275,277.78567,0.24,-6.944,0.482137585,267.453,0.275,89.984,4
"49",0.394217199,0.74575,0.32409,175.72526,0.734,-10.93,0.785892288,168.699,0.11431,141.919,4
"51",0.479308459,0.12284,0.12284,344.05832,0.068,-9.253,0.561692411,335.029,0.12284,154.953,1
"52",0.427914247,2.90946,0.14772,251.42812,0.071,-12.009,0.43483809,237.598,0.14772,86.091,5
"53",0.412240601,0.34237,0.34237,269.7922,0.218,-11.043,0.405115722,257.416,0.34237,90.218,4
"54",0.40439264,0.05314,0.05314,206.05342,0,-11.506,0.39694028178907,206.053,0.05314,133.144,1
"55",0.383475745,0.31943,0.02559,190.04036,0,-14.179,0.268578944844262,176.924,0.02559,205.317,4
"56",0.500691341,0.42366,0.0889,241.162,0.549,-8.531,0.767727748,230.342,0.0889,180.149,4
"57",0.338414819,0.49054,0.49054,122.64444,0.99,-8.541,0.43483809,109.627,0.05812,102.538,4
"58",0.523699078,8.99358,2.31778,207.0722,2.583,-6.629,0.38293509,202.757,2.31778,84.164,4
