"","artist.hotttnesss","bars_start","beats_start","duration","end_of_fade_in","loudness","song.hotttnesss","start_of_fade_out","tatums_start","tempo","time_signature"
"1",-0.257281120676374,-0.980409262658356,-0.907362091640113,-0.762230907148553,-0.986462044395725,0.443263837944009,0.20423998,-0.759800417321403,-0.955928550286424,-0.384028876181206,0
"4",-0.160775826232067,-0.956272761875175,-0.870589255219613,-0.74625466599826,-1,0.546631327354048,-0.20611943642186,-0.761816764454298,-0.910573386731468,-0.164253558827108,0
"5",-0.257787090843795,-0.96439179867815,-0.980879957078456,-0.77252605910281,-0.996382570567279,0.760181745036325,0.209001478,-0.782364992288141,-0.980364901791803,-0.0795311676197427,0
"9",-0.38609706766725,-0.935763431494016,-0.802554355293548,-0.70605453464985,-0.709509454645108,0.334453463331519,-0.468277902,-0.715126283776324,-0.802085667048783,-0.429087074664395,0
"11",-0.452622163182567,-0.996252649240403,-0.984776264909675,-0.762403929810183,-0.883529734173746,0.498923255318645,-1,-0.77309403337456,-0.984260196530865,0.058579713671574,-1
"12",-0.350475694072656,-0.951312225556102,-0.932920366141706,-0.733219898411974,-0.980432995341189,0.616110940199257,-0.468277902,-0.750267377889995,-0.974324087868168,-0.174944234902867,0
"13",-0.298879863985393,-0.959061682652216,-0.954605233026034,-0.75404091760189,-1,0.659322715763069,-1,-0.756877383120453,-0.991923232276981,-0.0770815589893336,0
"14",-0.534529459776602,-0.984526193124813,-0.927478293868631,-0.792135886542705,-0.979172375993423,0.60640840570793,-1,-0.793824044716513,-0.964126330524426,-0.0179178326641519,-1
"16",-0.172407532705717,-0.955771619827014,-0.953908412230023,-0.461739217215142,-1,0.567314291123364,-0.189768556,-0.461918585523564,-0.994312411795777,-0.159930242933041,0
"17",-0.388811869568637,-0.960137614878529,-0.96252870705392,-0.751560852521612,-0.987777473280351,0.210734316207966,-0.330586902,-0.761479963107985,-0.988528340640418,-0.0956077381676601,0.333333333333333
"19",-0.0513402731851468,-0.970701434832954,-0.99371716272892,-0.68344556310525,-0.992052617155385,0.723738078898171,0.368272382,-0.685444271087166,-0.993198769597077,0.085322626434684,0
"20",-1,-0.977628041458541,-0.966552601791451,-0.821002696848466,-0.991120855028775,0.651986653098895,-1,-0.828433171140809,-0.966041271808826,-0.00983087966905938,0
"21",-0.461359744390885,-0.995903824915631,-0.983071834699713,-0.836286825273165,-0.845053439298438,0.252810185294744,-0.538650623809524,-0.840914895206826,-0.982556209495558,-0.432793932757432,-0.333333333333333
"22",-0.392975078210369,-0.984516150197996,-0.927429221981588,-0.760183404242119,-0.988709235406961,0.570248716189034,-1,-0.772375821232091,-0.976028074903476,-0.236533235997891,-1
"23",-0.301147727450587,-0.964201317832857,-0.918954507089252,-0.706314074162063,-1,0.592209574745013,-0.372875772,-0.718273480462734,-0.91845555324796,-0.224431196009247,0
"24",0.00117818382206369,-0.964281326483165,-0.948162094257281,-0.774544715699359,-0.996656618251576,0.77139882149703,0.333055692,-0.775676920520458,-0.977465507344969,0.221592245609766,0
"25",-0.434195767908934,-0.976462392419331,-0.959402827849277,-0.866076452546385,-1,0.389544927467638,-0.00941275799999997,-0.874883876025878,-0.995983692745954,-0.016392910735288,0
"26",-0.328128395358608,-0.997020263613438,-0.988526992809333,-0.755425143053079,-1,0.693589227820243,-0.248031396,-0.752924985864381,-0.988009949191097,0.203828527395871,-1
"29",-0.298530756264994,-0.965866100334865,-0.992758625202013,-0.818176575405391,-0.989038092628117,0.518091677118584,-0.462842110311475,-0.823415723269739,-0.992240481302749,-0.101537088859147,0
"30",-0.447150741464715,-0.967350110154169,-0.947586317449309,-0.831269013532375,-0.96919704028501,0.11886787987789,-1,-0.835968822455505,-0.947079918954321,-0.353538548890781,-0.333333333333333
"31",-0.231090841663481,-0.967558668267732,-0.934266571576254,-0.625740777764076,-0.996546999177857,0.40814539602906,-0.172520328,-0.632415902822774,-0.979939722685104,-0.238098714361033,-0.333333333333333
"32",-0.163439431949536,-0.981228095958157,-0.911363086163691,-0.468919872943762,0.544094272403398,0.247414629528835,-0.24493671,-0.468243090275028,-0.910866106193388,-0.012458936610293,0
"33",-0.227315417787045,-0.996608503613947,-0.986515045440567,-0.821983184356623,-1,0.45627943299335,-0.113417376,-0.829787067943538,-0.985998524955561,-0.076594881777994,-1
"34",-0.289403832789284,-0.991926156367701,-0.963636095971525,-0.856732941790399,-1,0.500721773907282,-1,-0.858970570030702,-0.994632931430057,0.172737964878128,-1
"37",-0.0983488420526659,-0.991838448140167,-0.963207534824682,-0.50620737703805,-0.974403946286654,0.544264855526895,0.187886152,-0.528754693750551,-0.987346015662944,-0.0726527963661432,0
"39",-0.293023432553425,-0.974068828194647,-0.876381373620262,-0.861693082990491,-1,0.135527841541046,-0.211210288,-0.868545988439461,-0.875893489363163,-0.394297765340471,-0.333333333333333
"40",-0.455222973667304,-0.969185957176291,-0.965000294431322,-0.500180231479217,-0.986790901616881,0.0513287739309463,-1,-0.500638472750875,-0.992600248239186,-0.404558543212881,0
"41",-0.273679435752132,-0.975406546046652,-0.955845116038656,-0.784522657600705,-1,0.619707977376529,-0.098015376,-0.788702879874558,-0.979599579399745,-0.198580524800259,0
